YEARMADERANGE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,COOLTYPE,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELCOOL,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
5,3,2,0,0,1,16,1,1,0,5,1,1,1,23,4,3,0,1,1,3,2,2,1,4,4,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,16,1,7,3,1,0,1,0,0,1,0,2,3,2,66,1,42500,0,1364,341,0,5885,0.38
8,3,2,1,0,0,6,3,0,0,5,0,1,1,21,5,7,0,1,3,3,2,3,2,2,2,3,1,1,1,1,0,0,0,2,4,1,1,1,5,3,0,0,0,0,0,8,1,18,3,1,0,0,1,1,0,1,1,3,1,56,0,62500,0,2376,1901,2376,5448,0.52
5,2,2,0,0,1,0,1,0,1,7,1,1,1,22,4,3,0,0,0,0,1,2,3,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,10.5,0,12,4,0,0,0,1,1,1,0,1,3,2,56,1,17500,1,1312,0,1312,11683,0.41
7,4,3,1,1,0,0,4,1,1,10,0,1,1,21,5,12,0,1,3,3,2,3,4,2,2,3,10,5,5,1,0,0,0,0,4,0,0,1,4,1,1,0,0,0,0,0,0,12,3,1,0,0,1,0,0,0,4,5,2,38.5,0,110000,0,2167,1010,1010,5677,0.49
6,3,2,1,0,0,9,0,0,1,10,0,0,1,22,5,12,0,1,1,1,2,2,1,8,8,0,0,0,0,0,0,0,0,0,5,0,0,1,5,3,1,1,0,0,0,5,0,7,2,1,0,0,1,0,0,0,2,2,2,59.5,1,22500,0,1120,1120,1120,8060,0.46
7,0,1,0,0,1,0,0,0,0,5,1,0,1,22,2,12,0,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,13,0,2,3,0,0,0,0,1,1,0,4,2,2,75.5,1,27500,0,400,0,0,4440,0.42
3,5,3,0,1,1,6,4,0,0,10,1,0,1,21,4,2,1,8,3,3,3,2,3,8,8,5,10,10,10,1,0,0,0,2,7,1,0,1,7,3,1,2,2,0,0,42,0,18,4,1,0,1,1,0,1,1,1,4,5,43.2,1,32500,1,3573,2295,2295,20791,0.56
4,2,1,0,0,1,0,1,0,1,0,0,0,1,22,3,7,1,0,1,0,2,2,1,8,8,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,1,3,1,0,20,0,4,4,0,0,1,1,1,0,0,1,0,1,73,1,8750,1,780,780,195,9690,0.39
6,3,2,0,0,1,3,4,1,0,7,1,0,1,1,3,12,0,0,3,3,1,3,4,4,8,1,2,0,0,1,0,0,1,2,5,0,1,1,5,1,0,3,3,0,0,10.5,1,30,4,0,0,1,1,1,1,1,1,3,2,43.5,0,92500,0,1200,1200,1200,9334,0.37
8,5,3,1,1,0,6,2,1,1,7,0,1,1,23,5,2,0,8,7,2,2,2,2,12,12,4,5,2,1,1,0,0,1,2,12,0,1,0,0,0,0,0,0,1,0,2.5,0,22,4,1,0,1,0,1,1,0,4,3,4,26.5,0,130000,0,7830,7180,0,9747,0.55
3,3,1,1,0,1,9,2,0,0,7,1,0,1,22,3,7,1,5,13,3,4,2,1,4,8,1,5,0,0,1,0,1,0,0,6,0,1,1,6,1,1,1,1,1,0,10,0,7,2,0,0,1,1,1,1,1,1,4,5,16,0,52500,0,1656,1656,1656,9956,0.57
8,5,3,0,1,0,9,2,0,1,7,0,0,4,21,4,7,0,1,7,3,6,3,2,4,4,7,5,5,2,1,0,0,1,6,10,0,0,1,10,2,1,3,0,0,0,2.5,1,30,4,1,0,0,1,0,0,2,2,5,5,40.4,0,87500,0,3642,2992,2992,9994,0.44
2,4,2,0,1,0,6,3,1,0,7,0,0,2,22,3,7,0,0,7,3,2,2,1,2,2,4,8,5,2,1,0,1,1,2,4,0,0,0,0,0,0,2,1,0,0,30.5,0,12,2,1,0,0,0,0,0,2,4,2,5,38.6,0,62500,0,1723,882,0,5687,0.47
