YEARMADERANGE,BEDROOMS,NCOMBATH,NHAFBATH,WALLTYPE,OUTLET,STOVEN,SEPCOOKTUSE,SEPOVENUSE,AMTMICRO,NUMMEAL,TOAST,COFFEE,DWASHUSE,AGEDW,WASHTEMP,DRYRUSE,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,TVAUDIOSYS,DESKTOP,NUMLAPTOP,NUMTABLET,ELPERIPH,NUMSMPHONE,INTERNET,INWIRELESS,HEATHOME,EQUIPAGE,NUMBERAC,NUMCFAN,NOTMOIST,LGTINNUM,LGTIN4,HHAGE,EDUCATION,NUMADULT,ATHOME,MONEYPY,NOHEATBROKE,NOHEATEL,NOHEATDAYS,USESOLAR,TOTCSQFT,TOTHSQFT,TOTSQFT_EN,CDD30YR,KWH,KWHSPH,KWHCOL,KWHLGT
7,2,1,0,3,0,1,0,0,7,3,1,1,0,3,3,4,2,3,3,2,0,0,1,0,0,0,0,0,1,3,0,0,0,2,1,85,2,1,5,1,0,0,0,0,0,1069,1069,99,5471.941,2508.142,0.0,103.26
4,1,1,0,2,0,1,0,0,7,2,1,1,0,41,0,0,2,2,4,4,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,69,2,1,5,2,0,0,0,0,0,910,910,378,5602.269,1866.703,0.0,89.478
2,3,2,0,5,0,1,5,0,6,1,0,0,0,0,2,4,2,3,3,3,0,0,1,0,0,1,0,0,1,3,1,0,0,1,5,64,1,2,2,3,0,0,0,0,235,1175,1175,700,20692.415,13094.837,607.576,716.206
3,3,1,2,1,1,1,0,0,6,3,1,1,3,41,3,5,3,2,2,3,0,0,1,2,0,0,1,1,1,4,0,2,1,3,2,47,3,2,1,4,0,0,0,0,3152,3152,3152,814,8124.912,0.0,1890.451,681.791
4,1,1,0,4,0,1,0,0,7,3,1,1,4,3,0,0,1,2,4,4,0,1,0,1,1,1,1,1,1,4,0,1,0,1,2,67,3,1,0,1,0,0,0,0,0,870,870,1779,3856.0,0.0,0.0,308.856
5,3,2,0,1,1,1,0,0,2,4,1,0,0,42,2,1,3,2,3,5,1,1,1,0,0,2,1,1,1,3,0,5,0,2,1,49,2,2,0,3,0,0,0,0,1765,1765,3780,1995,9775.889,0.0,4837.788,718.518
2,6,4,0,3,0,1,0,0,7,1,0,1,3,2,3,4,4,3,2,2,0,0,6,0,0,6,1,1,1,1,2,2,0,2,10,22,4,6,0,8,0,0,0,0,2100,2100,3300,1676,10328.295,0.0,2171.733,1349.223
2,4,2,0,3,0,1,0,0,7,1,1,0,7,3,1,5,4,3,4,4,1,0,1,3,1,2,1,1,1,6,4,0,0,2,4,27,3,2,2,2,0,0,0,0,754,1320,1320,805,23517.154,11469.213,865.407,501.432
4,3,1,0,1,0,1,0,0,16,1,1,1,0,0,3,0,3,3,4,5,0,0,0,0,0,3,1,1,1,2,2,0,0,1,1,33,2,1,5,1,0,0,0,0,461,1152,1152,866,6034.0,0.0,1185.139,447.092
1,3,1,0,3,0,1,0,0,5,6,0,1,0,0,2,2,1,2,3,3,0,0,0,0,0,0,0,0,1,6,2,0,0,1,5,55,2,2,5,1,0,0,0,0,429,1875,2250,327,12544.441,6350.991,241.182,334.163
5,2,1,0,6,0,1,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,4,0,2,0,1,6,28,5,2,1,2,0,0,0,0,0,828,828,464,2932.77,447.772,0.0,428.622
7,4,3,0,4,1,1,0,0,7,2,1,1,4,41,2,3,2,3,5,5,1,2,1,3,2,2,1,0,1,4,0,8,0,4,8,73,3,2,5,2,0,0,0,0,3800,3800,3800,4765,19472.628,0.0,11109.455,1569.812
1,4,2,0,3,0,1,0,0,10,4,1,0,0,0,2,7,3,3,5,5,0,1,1,1,1,2,1,1,1,5,2,3,0,1,5,56,3,3,5,3,0,0,0,0,595,2082,2670,1764,10891.489,1088.947,2988.147,733.701
