YEARMADERANGE,BEDROOMS,NCOMBATH,NHAFBATH,WALLTYPE,OUTLET,STOVEN,SEPCOOKTUSE,SEPOVENUSE,AMTMICRO,NUMMEAL,TOAST,COFFEE,DWASHUSE,AGEDW,WASHTEMP,DRYRUSE,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,TVAUDIOSYS,DESKTOP,NUMLAPTOP,NUMTABLET,ELPERIPH,NUMSMPHONE,INTERNET,INWIRELESS,HEATHOME,EQUIPAGE,NUMBERAC,NUMCFAN,NOTMOIST,LGTINNUM,LGTIN4,HHAGE,EDUCATION,NUMADULT,ATHOME,MONEYPY,NOHEATBROKE,NOHEATEL,NOHEATDAYS,USESOLAR,TOTCSQFT,TOTHSQFT,TOTSQFT_EN,CDD30YR,KWH,KWHSPH,KWHCOL,KWHLGT
7,3,2,1,4,1,1,0,0,10,3,1,1,6,3,3,3,2,3,2,3,0,0,2,2,1,2,1,1,1,4,0,5,0,2,2,42,2,2,0,8,0,0,0,0,1808,1808,1808,1332,5270.742,0.0,1991.505,409.651
5,2,1,0,3,0,1,0,0,20,3,1,0,0,0,0,0,2,2,5,5,0,0,0,0,0,0,1,0,1,1,4,3,0,1,5,60,2,2,1,2,0,0,0,0,759,759,759,2494,12173.0,3390.979,2223.717,1109.597
4,4,2,0,2,1,2,0,0,14,2,1,1,7,3,3,3,4,2,4,4,0,1,2,2,2,2,1,1,1,5,2,7,0,2,8,73,1,3,5,2,0,0,0,0,1716,1430,2288,2059,19655.394,3651.818,6837.336,917.391
2,3,2,0,3,1,1,0,0,0,6,1,1,0,0,2,3,5,3,2,1,0,1,0,1,1,1,1,0,1,3,0,9,0,4,2,69,4,1,3,3,0,0,0,0,2573,2573,2573,1327,9852.535,1412.232,3534.948,484.534
4,3,2,0,1,1,1,6,0,6,0,1,1,0,0,2,2,5,2,2,2,2,0,3,2,1,2,1,1,1,3,0,2,1,2,10,51,2,2,0,3,0,0,0,0,933,933,1024,871,3115.655,0.0,332.701,604.038
5,0,1,0,3,0,1,0,0,3,1,0,0,0,0,0,0,1,2,3,3,1,0,1,0,0,1,1,1,1,3,1,0,0,1,1,33,1,1,3,1,0,0,0,0,623,623,623,396,2777.0,0.0,157.203,263.456
3,2,1,0,1,0,1,0,0,10,3,0,0,0,0,3,0,1,1,2,2,0,0,0,0,0,1,0,0,1,4,0,2,0,1,3,53,5,1,0,4,0,0,0,0,832,832,832,2546,2397.758,0.0,934.817,172.427
4,3,1,0,3,1,1,0,0,50,1,1,1,4,3,2,4,2,3,4,4,1,1,1,0,2,1,1,1,1,6,2,3,1,1,1,67,2,2,5,3,0,0,0,0,358,894,2682,597,13890.899,0.0,676.65,215.597
5,4,2,0,3,1,1,0,0,12,3,1,1,5,3,2,2,5,3,4,5,0,1,3,4,2,4,1,1,1,6,0,2,0,2,3,56,3,4,5,5,0,0,0,0,1900,1900,1900,820,10422.424,0.0,804.897,955.39
2,3,2,0,1,1,1,0,0,15,2,1,1,19,1,3,20,3,3,3,3,0,1,1,4,1,2,1,1,1,5,0,4,0,2,20,48,4,2,5,6,0,0,0,0,1230,1230,1230,3022,18505.802,2570.243,3102.518,2340.238
3,3,1,1,3,0,1,0,0,8,2,1,1,0,0,2,1,2,2,3,4,0,1,1,0,0,0,1,1,1,2,1,1,0,1,4,64,3,1,0,3,0,0,0,0,285,1426,2139,627,2469.205,0.0,78.867,230.658
